Crop,City,Date,Predicted_AW_Day,Rainfall_mm,Temperature_F,Soil_Moisture
Almonds,Merced,2025-04-05,2.95,0,57.739998,0.151
Almonds,Merced,2025-04-06,3.436,0,62.825,0.134
Almonds,Merced,2025-04-07,3.876,0,60.395,0.118
Almonds,Merced,2025-04-08,4.123,0,59.171898,0.109
Almonds,Merced,2025-04-09,4.415,0,60.1619,0.099
Almonds,Merced,2025-04-10,4.708,0,66.1019,0.089
Almonds,Merced,2025-04-11,4.955,0,66.4619,0.08
Grapes,Fresno,2025-04-05,1.642,0,60.5633,0.197
Grapes,Fresno,2025-04-06,2.053,0,64.8833,0.182
Grapes,Fresno,2025-04-07,2.398,0,64.9283,0.17
Grapes,Fresno,2025-04-08,2.612,0,63.981503,0.163
Grapes,Fresno,2025-04-09,2.824,0,66.4115,0.155
Grapes,Fresno,2025-04-10,3.056,0,73.2515,0.147
Grapes,Fresno,2025-04-11,3.322,0,72.3515,0.138
Tomato,Sacramento,2025-04-05,0.794,0,60.164604,0.227
Tomato,Sacramento,2025-04-06,1.246,0,62.189598,0.211
Tomato,Sacramento,2025-04-07,-0.043,0,61.1312,0.257
Tomato,Sacramento,2025-04-08,0.558,0,57.8228,0.235
Tomato,Sacramento,2025-04-09,1.126,0,61.4228,0.215
Tomato,Sacramento,2025-04-10,1.582,0,65.6978,0.199
Tomato,Sacramento,2025-04-11,2.0,0,65.2928,0.184
